Index	Most often style	Spectral Clustering	Aglomerative Clustering	K-means
316	62	0	0	0
317	42	0	1	4
318	50	0	1	4
319	52	6	2	6
320	47	6	2	6
321	42	3	3	5
322	47	6	2	6
323	77	4	0	1
324	40	3	3	5
325	53	6	2	6
326	81	0	6	3
327	38	0	1	4
328	53	3	4	2
329	53	6	2	6
330	38	3	1	4
331	46	0	1	4
332	65	0	1	4
333	55	6	2	1
334	39	6	2	6
335	56	3	1	4
336	49	6	2	6
337	54	3	1	4
338	47	3	1	4
339	62	3	4	2
340	47	6	2	6
341	80	0	0	0
342	63	3	4	2
343	53	6	2	1
344	45	3	1	4
345	67	3	3	5
346	76	4	0	0
347	43	3	3	5
348	48	3	4	2
349	47	3	3	5
350	55	6	2	6
351	51	6	2	6
352	81	4	0	0
353	59	3	1	4
354	56	3	3	5
355	31	3	4	2
356	47	6	2	6
357	56	3	1	4
358	51	6	2	6
359	81	0	0	0
360	81	4	0	0
361	78	0	1	0
362	62	3	4	2
363	53	0	0	0
364	81	0	0	0
365	51	6	2	1
366	81	0	0	0
367	33	3	4	2
368	37	3	3	5
369	47	3	3	5
370	72	3	4	2
371	48	6	2	6
372	38	3	1	4
373	39	3	3	5
374	50	3	1	4
375	54	6	2	6
376	51	3	4	2
377	55	3	3	2
378	49	3	4	4
379	81	0	0	0
380	53	6	2	6
381	40	3	3	5
382	76	0	0	0
383	81	0	0	0
384	47	6	2	6
385	81	0	6	3
386	56	3	1	4
387	32	3	4	2
388	53	6	2	6
389	65	3	3	5
390	45	3	4	2
391	81	0	6	3
392	48	6	2	6
393	46	0	0	0
394	46	0	1	4
395	53	6	2	6
396	53	6	2	6
397	81	0	0	0
398	58	0	1	2
399	60	0	1	0
400	54	6	2	6
401	39	3	4	2
402	47	6	2	6
403	65	0	1	0
404	81	0	0	0
405	43	3	4	2
406	71	0	1	4
407	47	3	3	5
408	65	0	0	0
409	53	6	2	1
410	81	4	0	0
411	56	3	4	4
412	56	3	3	5
413	81	0	0	0
414	53	3	4	2
415	56	3	3	5
416	49	5	5	1
417	78	0	0	0
418	73	4	0	1
419	73	4	0	1
420	47	3	3	5
421	53	3	3	5
422	57	0	1	2
423	54	3	3	5
424	76	3	4	2
425	48	4	0	1
426	49	6	2	6
427	72	3	3	2
428	47	3	4	2
429	62	4	0	1
430	42	3	3	5
431	38	3	3	5
432	44	0	1	0
433	48	3	4	2
434	47	3	3	5
435	44	3	1	2
436	56	3	3	5
437	47	3	4	2
438	56	0	0	0
439	49	5	5	1
440	49	0	1	2
441	34	3	3	5
442	51	5	5	1
443	62	6	2	1
444	56	3	3	5
445	53	6	2	6
