Index	Most often style	Spectral Clustering	Aglomerative Clustering	K-means
3579	47	3	3	5
3580	56	3	4	2
3581	81	0	6	3
3582	81	0	0	0
3583	50	6	2	6
3584	56	4	2	1
3585	42	0	1	4
3586	51	5	5	1
3587	42	3	4	2
3588	53	3	3	5
3589	38	3	4	4
3590	81	0	6	3
3591	44	3	3	5
3592	43	3	1	4
3593	81	0	0	0
3594	9	3	1	4
3595	50	3	3	5
3596	39	0	6	3
3597	53	5	5	1
3598	49	3	4	2
3599	57	3	4	2
3600	49	0	0	0
3601	56	0	1	4
3602	47	3	4	2
3603	57	4	0	1
3604	53	6	2	6
3605	72	0	1	0
3606	47	6	2	6
3607	64	0	1	4
3608	46	3	3	5
3609	50	3	3	5
3610	52	6	2	6
3611	50	6	2	6
3612	47	6	2	6
3613	56	6	2	6
3614	47	6	2	6
3615	43	0	1	0
3616	53	5	5	1
3617	79	4	0	1
3618	67	0	1	0
3619	57	5	5	1
3620	73	3	4	2
3621	45	3	1	4
3622	57	0	1	4
3623	81	0	0	0
3624	30	3	1	2
3625	81	0	0	0
3626	45	3	3	5
3627	53	6	2	6
3628	47	3	3	5
3629	47	3	4	2
3630	53	3	4	2
3631	29	3	3	5
3632	50	6	2	6
3633	51	6	2	6
3634	50	3	1	4
3635	56	0	1	4
3636	53	6	2	6
3637	56	5	5	1
3638	60	3	4	2
3639	48	6	2	6
3640	81	0	0	0
3641	32	3	3	5
3642	47	6	2	6
3643	81	0	0	0
3644	49	3	3	5
3645	56	6	2	6
3646	47	6	2	6
3647	67	3	4	2
3648	42	0	1	0
3649	76	0	1	0
3650	67	3	3	5
3651	73	3	4	2
3652	53	5	5	1
3653	49	5	5	1
3654	47	3	4	2
3655	32	3	3	5
3656	81	0	0	0
3657	48	6	2	6
3658	81	4	0	0
3659	73	3	1	4
3660	47	3	3	5
3661	53	5	5	1
3662	53	0	1	4
3663	51	3	1	5
3664	54	4	2	1
3665	53	6	2	6
3666	53	6	2	6
3667	53	6	2	6
3668	47	3	3	5
3669	72	3	4	2
3670	22	3	1	4
3671	56	3	3	5
3672	25	3	3	5
3673	32	3	3	5
3674	58	3	3	5
3675	56	3	3	5
3676	53	6	2	6
3677	81	0	0	0
3678	50	6	2	6
3679	73	3	1	4
3680	73	0	1	4
3681	56	6	2	6
3682	47	3	3	5
3683	56	6	2	6
3684	56	3	4	2
3685	57	0	1	4
3686	81	0	0	0
3687	60	4	0	1
3688	81	0	0	0
3689	59	4	0	0
3690	41	3	3	5
3691	50	4	0	1
3692	49	6	2	6
3693	47	3	3	5
3694	50	6	2	6
3695	72	3	4	2
3696	47	3	4	2
3697	72	5	5	1
3698	45	3	3	5
3699	51	6	2	6
3700	47	6	2	6
3701	57	3	4	2
3702	47	3	3	5
3703	81	0	0	0
3704	51	3	4	4
3705	50	6	2	6
3706	60	3	4	2
3707	72	4	0	1
3708	53	6	2	6
3709	47	6	2	6
3710	56	3	1	5
3711	62	0	0	0
3712	44	0	1	0
3713	42	6	2	6
3714	34	0	0	0
3715	81	0	0	0
3716	53	6	2	6
3717	49	3	1	2
3718	50	6	2	6
3719	49	6	2	6
3720	50	3	1	4
3721	35	3	3	5
3722	66	3	3	5
3723	49	6	2	6
3724	81	4	0	0
3725	53	5	5	1
3726	81	4	0	1
3727	54	5	5	1
3728	53	6	2	6
3729	61	5	5	1
3730	56	6	2	6
3731	53	6	2	6
3732	53	3	4	2
3733	49	6	2	6
3734	57	4	0	1
3735	47	3	3	5
3736	56	6	2	6
3737	53	0	0	0
3738	47	6	2	6
3739	56	3	3	5
3740	62	3	1	4
3741	56	6	2	1
3742	47	3	3	5
3743	53	5	5	1
3744	81	0	0	0
3745	58	4	0	1
3746	51	6	2	6
3747	67	3	3	5
3748	81	0	0	0
3749	60	3	1	5
3750	44	3	4	2
3751	56	3	3	5
3752	47	0	1	4
3753	63	3	4	2
3754	53	3	4	2
3755	51	3	3	5
3756	49	6	2	6
3757	43	0	1	4
3758	71	4	0	1
3759	47	6	2	6
3760	29	3	1	4
3761	32	3	1	4
3762	44	3	3	5
3763	47	6	2	6
3764	32	3	3	5
3765	49	3	4	2
3766	51	6	2	6
3767	72	5	5	1
3768	67	3	4	2
3769	72	3	3	2
3770	44	3	3	5
3771	45	0	1	4
3772	53	5	5	1
3773	42	3	1	5
3774	30	3	1	4
3775	53	6	2	6
3776	38	3	1	4
3777	53	6	2	6
3778	51	6	2	6
3779	26	3	3	5
3780	51	6	2	6
3781	19	0	1	4
3782	56	6	2	6
3783	5	0	1	4
3784	53	5	5	1
3785	49	3	3	5
3786	56	3	1	5
3787	20	3	4	2
3788	81	0	0	0
3789	52	6	2	6
3790	47	3	3	5
3791	49	5	5	1
3792	81	0	6	3
3793	81	1	6	3
3794	13	0	1	4
3795	49	6	2	6
3796	71	0	1	4
3797	59	3	1	4
3798	50	3	3	5
3799	49	5	5	1
3800	48	5	5	1
3801	58	3	3	5
3802	66	4	2	1
3803	49	3	3	5
3804	62	4	0	1
3805	49	5	5	1
3806	47	3	3	5
3807	46	0	1	0
3808	39	3	1	4
3809	47	6	2	6
3810	49	3	1	4
3811	49	0	0	0
3812	52	6	2	6
3813	47	3	3	5
3814	53	6	2	6
3815	81	0	0	0
3816	56	4	2	1
3817	25	0	1	4
3818	81	0	0	0
3819	53	3	4	2
3820	38	0	0	0
3821	56	3	1	4
3822	24	3	1	4
3823	53	6	2	6
3824	81	1	6	3
3825	38	3	1	4
3826	47	6	2	6
3827	39	3	3	5
3828	47	3	3	5
3829	50	3	4	2
3830	81	0	0	0
3831	60	0	0	0
3832	32	3	3	5
3833	53	6	2	6
3834	52	5	5	1
3835	53	6	2	6
3836	52	3	3	5
3837	46	3	3	5
3838	81	0	0	0
3839	50	6	2	6
3840	51	6	2	6
3841	76	4	0	1
3842	47	3	3	5
3843	76	4	0	1
3844	59	3	4	2
3845	76	0	1	3
3846	47	6	2	6
3847	51	6	2	6
3848	47	0	1	0
3849	51	3	4	2
3850	76	0	0	0
3851	47	0	1	4
3852	54	5	5	1
3853	53	3	4	2
3854	56	3	1	2
3855	63	3	4	2
3856	47	6	2	6
3857	70	4	0	1
3858	79	0	6	3
3859	49	6	2	6
3860	81	0	6	3
3861	56	6	2	6
3862	47	3	3	5
3863	45	3	1	4
3864	52	5	5	1
3865	53	6	2	6
3866	56	6	2	6
3867	56	0	0	0
3868	56	0	1	4
3869	51	6	2	6
3870	35	3	4	2
3871	50	6	2	1
3872	63	0	1	4
3873	81	0	0	0
3874	56	6	2	6
3875	49	0	0	0
3876	32	3	3	5
3877	50	3	1	4
3878	50	6	2	6
3879	49	0	0	0
3880	61	3	1	5
3881	39	3	1	4
3882	67	0	0	0
3883	53	6	2	6
3884	72	5	5	1
3885	45	0	1	4
3886	53	5	5	1
3887	61	0	6	3
3888	47	3	3	5
3889	59	3	1	4
3890	72	4	0	0
3891	73	3	1	4
3892	64	0	6	3
3893	47	6	2	6
3894	67	3	1	5
3895	81	3	1	4
3896	56	4	2	1
3897	56	6	2	6
3898	81	0	0	0
3899	51	6	2	6
3900	81	0	6	3
3901	56	6	2	6
3902	32	3	3	5
3903	11	0	1	4
3904	38	0	1	0
3905	46	0	0	0
3906	50	4	0	1
3907	50	3	3	5
3908	56	3	3	5
3909	62	3	4	2
3910	51	6	2	6
3911	53	3	1	2
3912	72	3	3	5
3913	57	5	5	1
3914	81	0	0	0
3915	67	3	3	2
3916	49	6	2	6
3917	53	5	5	1
3918	38	3	3	5
3919	73	4	0	1
3920	49	3	3	5
3921	50	3	3	5
3922	53	6	2	6
3923	81	0	0	0
3924	51	6	2	6
3925	49	5	5	1
3926	45	4	2	1
3927	56	3	3	5
3928	81	0	0	0
3929	81	0	6	3
3930	81	0	6	3
3931	53	3	4	2
3932	56	3	3	5
3933	44	3	3	5
3934	52	6	2	6
3935	81	0	0	0
3936	51	6	2	6
3937	52	3	3	5
3938	42	0	1	4
3939	53	6	2	6
3940	49	5	5	1
3941	72	0	0	0
3942	49	3	4	2
3943	65	0	1	0
3944	72	5	5	1
3945	51	6	2	1
3946	47	3	3	5
3947	51	6	2	6
3948	56	3	3	5
3949	56	3	3	5
3950	72	5	5	1
3951	71	3	1	4
3952	53	6	2	6
3953	64	3	1	2
3954	47	3	3	5
3955	72	5	5	1
3956	34	0	1	4
3957	47	0	1	0
3958	58	4	0	1
3959	49	3	4	2
3960	45	5	5	1
3961	81	0	0	0
3962	49	6	2	6
3963	45	3	4	2
3964	50	0	1	4
3965	47	0	1	0
3966	39	3	3	5
3967	51	0	1	4
3968	62	3	3	5
3969	49	3	4	2
3970	40	0	1	4
3971	56	0	1	4
3972	55	6	2	6
3973	81	0	0	0
3974	54	0	1	2
3975	79	3	3	2
3976	81	0	0	0
3977	43	3	1	4
3978	53	6	2	6
3979	27	3	4	2
3980	42	3	3	5
3981	81	0	1	0
3982	47	3	3	5
3983	81	0	0	0
3984	63	0	0	0
3985	65	0	1	2
3986	58	0	0	0
3987	48	6	2	6
3988	39	3	3	5
3989	51	3	3	5
3990	81	0	0	0
3991	73	0	0	0
3992	60	3	4	2
3993	42	3	3	5
3994	81	0	0	0
3995	43	3	4	2
3996	79	0	1	0
3997	43	3	4	2
3998	38	3	1	4
3999	42	0	1	4
4000	81	4	0	1
4001	47	3	3	5
4002	56	0	0	0
4003	53	5	5	1
4004	53	6	2	6
4005	56	6	2	6
4006	53	5	5	1
4007	70	3	1	4
4008	51	6	2	6
4009	42	0	1	4
4010	38	3	1	4
4011	47	3	3	5
4012	18	3	3	5
4013	53	6	2	6
4014	59	0	0	0
4015	51	6	2	6
4016	62	3	1	4
4017	44	3	4	2
4018	23	3	4	2
4019	49	5	5	1
4020	56	3	3	5
4021	50	6	2	6
4022	56	6	2	6
4023	56	3	4	2
4024	53	6	2	6
4025	47	6	2	6
4026	56	3	3	5
4027	38	3	3	5
4028	47	6	2	6
4029	48	6	2	6
4030	81	0	1	4
4031	53	6	2	6
4032	81	0	1	4
4033	47	3	3	5
4034	47	6	2	6
4035	37	3	3	5
4036	42	0	1	4
4037	23	0	1	4
4038	48	6	2	6
4039	45	6	2	6
4040	81	0	0	0
4041	47	6	2	6
4042	81	0	0	0
4043	59	4	0	1
4044	56	0	0	0
4045	49	0	1	0
4046	40	3	3	5
4047	53	6	2	6
4048	51	0	0	0
4049	75	0	0	0
4050	56	0	0	0
4051	81	0	1	4
4052	53	6	2	6
4053	53	3	4	2
4054	63	0	1	4
4055	51	5	5	1
4056	45	6	2	1
4057	41	3	1	4
4058	56	3	3	5
4059	49	3	4	2
4060	50	6	2	6
4061	47	3	3	5
4062	81	0	0	0
4063	72	3	1	4
4064	51	6	2	6
4065	53	3	3	5
4066	47	6	2	6
4067	45	3	4	4
4068	75	5	5	1
4069	68	3	3	5
4070	49	5	5	1
4071	51	0	1	4
4072	11	0	1	0
4073	48	3	3	5
4074	54	6	2	6
4075	49	3	4	2
4076	53	3	4	2
4077	30	3	4	2
4078	53	6	2	1
4079	39	0	1	0
4080	53	4	2	1
4081	59	3	3	5
4082	78	4	0	0
4083	65	0	0	0
4084	47	5	5	1
4085	42	3	4	2
4086	64	0	6	3
4087	53	6	2	6
4088	47	3	3	5
4089	69	3	1	5
4090	42	3	4	2
4091	56	3	3	5
4092	54	6	2	6
4093	45	3	3	5
4094	45	6	2	6
4095	70	4	0	1
4096	71	4	0	1
4097	47	5	5	1
4098	42	0	1	0
4099	81	4	0	0
4100	53	6	2	6
4101	65	3	1	4
4102	57	3	4	2
4103	46	3	3	5
4104	48	3	4	4
4105	81	0	1	4
4106	51	6	2	6
4107	49	3	4	2
4108	41	3	3	5
4109	52	0	1	4
4110	53	5	5	1
4111	56	6	2	6
4112	81	0	1	0
4113	53	6	2	6
4114	72	4	0	1
4115	42	3	4	2
4116	47	3	4	2
4117	81	0	1	0
4118	60	3	1	4
4119	58	4	0	0
4120	78	0	0	0
4121	41	3	4	2
4122	57	3	3	5
4123	53	5	5	1
4124	46	3	1	4
4125	39	3	1	4
4126	81	4	0	1
4127	51	3	1	5
4128	35	3	4	2
4129	50	6	2	6
4130	53	3	4	2
4131	38	3	3	5
4132	72	3	4	2
4133	53	3	4	2
4134	81	4	0	1
4135	53	6	2	6
4136	54	5	5	1
4137	53	6	2	6
4138	32	3	4	5
4139	47	0	1	4
4140	47	3	3	5
4141	35	3	3	5
4142	49	5	5	1
4143	50	6	2	6
4144	51	6	2	6
4145	45	3	3	5
4146	58	6	2	6
4147	50	6	2	6
4148	51	6	2	6
4149	47	0	6	3
4150	59	4	2	1
4151	81	0	0	0
4152	51	3	1	4
4153	56	5	5	1
4154	56	3	3	5
4155	53	5	5	1
4156	47	6	2	6
4157	50	6	2	6
4158	38	3	3	2
4159	50	3	3	5
4160	22	0	1	0
4161	58	0	1	0
4162	57	6	2	1
4163	45	3	3	5
4164	51	6	2	6
4165	47	3	3	5
4166	53	5	5	1
4167	50	6	2	6
4168	56	6	2	6
4169	47	3	3	5
4170	53	3	4	2
4171	42	3	3	5
4172	65	0	1	4
4173	57	0	1	4
4174	81	4	0	1
4175	39	3	4	2
4176	47	3	3	5
4177	56	3	1	4
4178	47	3	3	5
4179	57	0	1	4
4180	41	3	4	2
4181	50	6	2	6
4182	57	3	4	2
4183	38	3	3	5
4184	56	6	2	6
4185	70	4	0	1
4186	56	6	2	6
4187	56	3	3	5
4188	38	3	3	5
4189	51	6	2	6
4190	64	3	1	2
4191	47	3	1	4
4192	32	3	3	5
4193	50	3	1	4
4194	44	3	3	5
4195	76	4	0	0
4196	50	6	2	6
4197	52	6	2	6
4198	81	0	1	0
4199	44	3	4	2
4200	49	6	2	6
4201	51	6	2	1
4202	47	3	3	5
4203	44	3	3	5
4204	60	3	3	5
4205	51	0	1	0
4206	76	0	1	0
4207	48	3	3	5
4208	50	3	1	4
4209	65	3	4	4
4210	49	6	2	6
4211	47	6	2	6
4212	73	3	3	2
4213	68	3	1	2
4214	53	6	2	6
4215	44	3	3	5
4216	32	3	3	5
4217	47	0	1	0
4218	49	3	1	2
4219	11	0	1	4
4220	53	5	5	1
4221	48	3	3	5
4222	76	3	3	2
4223	78	0	1	4
4224	49	5	5	1
4225	48	5	2	6
4226	77	0	1	4
4227	51	6	2	6
4228	50	6	2	1
4229	80	0	0	0
4230	53	6	2	6
4231	51	6	2	6
4232	56	0	1	4
4233	51	6	2	6
4234	52	6	2	6
4235	44	3	3	5
4236	81	0	0	0
4237	45	4	2	1
4238	49	4	2	1
4239	47	0	1	4
4240	43	0	1	4
4241	53	6	2	6
4242	50	6	2	6
4243	62	3	3	5
4244	51	6	2	6
4245	49	0	0	0
4246	53	3	1	2
4247	57	3	4	2
4248	50	6	2	6
4249	42	3	3	5
4250	56	3	1	5
4251	19	0	1	0
4252	47	3	3	5
4253	81	0	0	0
4254	43	3	3	5
4255	63	3	1	5
4256	72	3	3	2
4257	39	0	1	0
4258	81	0	6	3
4259	63	4	0	1
4260	47	3	1	4
4261	53	6	2	6
4262	80	0	0	0
4263	53	6	2	6
4264	50	4	0	1
4265	32	3	3	5
4266	50	6	2	6
4267	55	3	1	2
4268	56	3	1	5
4269	78	0	1	4
4270	33	3	3	5
4271	51	3	1	4
4272	69	0	0	0
4273	47	3	3	5
4274	73	0	1	2
4275	54	6	2	6
4276	53	3	3	5
4277	83	3	1	2
4278	64	3	3	5
4279	41	3	3	5
4280	81	0	1	0
4281	56	3	3	5
4282	32	3	3	5
4283	58	4	0	1
4284	37	3	3	5
4285	58	3	4	2
4286	47	5	5	1
4287	66	3	1	4
4288	72	0	1	3
4289	81	0	0	0
4290	53	5	5	1
4291	47	6	2	6
4292	50	4	0	1
4293	56	6	2	6
4294	34	3	3	5
4295	51	6	2	6
4296	74	0	0	0
4297	50	5	5	1
4298	49	5	5	1
4299	49	5	5	1
4300	26	3	3	5
4301	74	0	1	4
4302	59	0	0	0
4303	72	4	0	1
4304	50	0	1	4
4305	50	6	2	6
4306	62	3	3	5
4307	46	3	1	4
4308	56	6	2	6
4309	60	0	0	0
4310	55	0	1	0
4311	39	3	4	2
4312	81	0	6	3
4313	53	6	2	1
4314	45	3	4	4
4315	47	6	2	6
4316	32	3	4	2
4317	56	4	0	1
4318	47	3	3	5
4319	53	6	2	6
4320	81	0	0	0
4321	67	0	1	0
4322	37	3	4	2
4323	58	3	3	5
4324	39	3	3	5
4325	31	3	4	2
4326	81	0	6	3
4327	62	3	3	2
4328	53	5	5	1
4329	60	3	3	5
4330	39	0	1	0
4331	77	0	1	0
4332	87	3	1	2
4333	45	0	1	0
4334	72	0	1	0
4335	58	6	2	6
4336	42	3	3	5
4337	72	5	5	1
4338	33	3	4	2
4339	39	3	4	2
4340	32	3	3	5
4341	23	3	3	5
4342	81	0	0	0
4343	46	0	1	4
4344	76	4	0	0
4345	56	6	2	6
4346	53	6	2	6
4347	56	5	5	1
4348	28	3	4	2
4349	65	0	1	4
4350	74	3	4	2
4351	47	6	2	6
4352	47	3	3	5
4353	76	0	0	0
4354	72	5	5	1
4355	47	3	3	5
4356	51	6	2	6
4357	47	6	2	6
4358	81	0	0	0
4359	53	6	2	6
4360	53	3	4	2
4361	51	6	2	6
4362	59	0	0	0
4363	53	3	4	2
4364	54	3	3	2
4365	47	6	2	6
4366	71	4	0	0
4367	43	0	1	4
4368	38	3	1	4
4369	53	6	2	6
4370	81	0	6	3
4371	47	5	5	1
4372	47	3	3	5
4373	45	3	3	5
4374	53	3	3	5
4375	44	0	1	0
4376	81	0	0	0
4377	53	3	1	2
4378	52	3	4	2
4379	42	3	3	5
4380	78	0	0	0
4381	56	6	2	1
4382	78	4	0	0
4383	53	5	5	1
4384	49	5	5	1
4385	31	3	4	2
4386	57	3	3	5
4387	43	3	4	2
4388	56	5	5	1
4389	66	3	1	4
4390	50	6	2	6
4391	58	3	4	2
4392	50	6	2	6
4393	32	3	1	4
4394	53	3	4	2
4395	53	4	2	1
4396	50	6	2	6
4397	60	0	1	0
4398	38	3	1	5
4399	47	6	2	6
4400	56	0	1	4
4401	56	3	3	5
4402	54	3	4	2
4403	50	6	2	6
4404	47	6	2	6
4405	35	3	1	4
4406	47	3	3	5
4407	47	6	2	6
4408	50	3	3	5
4409	38	3	4	2
4410	56	3	3	5
4411	45	0	1	4
4412	50	6	2	6
4413	53	6	2	6
4414	59	0	6	3
4415	55	3	1	4
4416	49	3	4	2
4417	53	6	2	1
4418	61	0	1	4
4419	50	3	3	5
4420	34	3	3	5
4421	53	6	2	6
4422	54	4	0	1
4423	50	6	2	6
4424	81	0	0	0
4425	53	6	2	6
4426	72	3	4	2
4427	51	6	2	1
4428	81	0	0	3
4429	44	3	3	5
4430	81	4	0	0
4431	56	6	2	1
4432	32	3	3	5
4433	71	4	0	1
4434	49	0	1	4
4435	47	6	2	6
4436	47	6	2	6
4437	81	0	1	3
4438	51	3	4	2
4439	56	3	3	5
4440	76	0	1	0
4441	50	6	2	6
4442	53	6	2	6
4443	30	3	4	2
4444	81	0	1	0
4445	53	6	2	6
4446	39	3	1	4
4447	39	3	1	5
4448	56	3	3	5
4449	81	0	0	0
4450	32	3	3	5
4451	49	4	0	1
4452	53	6	2	6
4453	56	3	3	5
4454	53	3	3	5
4455	47	3	4	2
4456	59	3	3	5
4457	50	3	3	5
4458	81	0	0	0
4459	52	5	5	1
4460	56	3	4	2
4461	40	3	1	4
4462	53	3	3	5
4463	81	0	0	0
4464	64	0	0	0
4465	53	3	3	5
4466	56	0	0	0
4467	51	0	0	0
4468	51	6	2	6
4469	52	6	2	6
4470	50	6	2	6
4471	51	6	2	6
4472	56	4	2	1
4473	62	3	3	5
4474	32	3	3	5
4475	47	6	2	6
4476	42	3	3	5
4477	49	5	5	1
4478	47	6	2	6
4479	56	3	1	2
4480	37	3	4	2
4481	81	0	0	0
4482	81	0	0	0
4483	51	3	3	5
4484	50	6	2	6
4485	72	3	4	2
4486	81	0	1	0
4487	17	3	3	5
4488	47	6	2	6
4489	48	6	2	6
4490	56	6	2	1
4491	50	0	1	4
4492	47	3	3	5
4493	9	3	1	4
4494	42	0	1	0
4495	69	3	4	2
4496	71	4	0	1
4497	49	3	4	2
4498	51	6	2	6
4499	57	0	1	4
4500	52	6	2	6
4501	33	3	3	5
4502	39	3	4	2
4503	60	0	1	4
4504	44	3	3	5
4505	47	5	5	1
4506	49	3	3	5
4507	53	5	5	1
4508	50	3	3	5
4509	81	0	6	3
4510	81	0	6	3
4511	55	3	4	2
4512	53	6	2	6
4513	31	3	3	5
4514	47	6	2	6
4515	36	3	3	5
4516	47	3	3	5
4517	53	3	3	5
4518	18	0	1	4
4519	30	0	1	4
4520	51	6	2	6
4521	47	3	3	5
4522	64	0	0	0
4523	56	2	6	3
4524	81	0	1	4
4525	47	6	2	6
4526	66	3	1	4
4527	47	3	3	5
4528	53	3	3	5
4529	47	3	3	5
4530	40	0	1	4
4531	56	6	2	6
4532	32	3	3	5
4533	43	0	1	0
4534	21	3	3	5
4535	56	3	3	5
4536	16	0	6	3
4537	49	5	5	1
4538	81	0	6	3
4539	50	6	2	6
4540	56	6	2	6
4541	38	3	3	5
4542	42	3	3	2
4543	59	3	4	2
4544	77	0	0	0
4545	81	0	0	0
4546	68	0	1	0
4547	45	6	2	6
4548	56	6	2	6
4549	52	5	5	1
4550	48	3	4	2
4551	38	3	3	5
4552	47	6	2	6
4553	51	5	5	1
4554	53	3	1	5
4555	57	0	1	4
4556	58	0	1	4
4557	47	3	3	5
4558	43	5	5	1
4559	47	3	3	5
4560	50	3	3	5
4561	72	3	4	2
4562	81	0	0	0
4563	56	3	3	5
4564	53	5	5	1
4565	50	3	4	2
4566	81	0	1	0
4567	33	3	4	2
4568	72	3	4	2
4569	53	6	2	1
4570	56	6	2	6
4571	47	6	2	6
4572	53	6	2	6
4573	53	4	2	1
4574	49	6	2	6
4575	53	6	2	6
4576	46	0	1	4
4577	32	0	1	0
4578	66	0	0	0
4579	66	3	1	4
4580	81	0	0	0
4581	75	0	1	0
4582	49	3	4	2
4583	47	6	2	6
4584	81	0	0	0
4585	58	4	0	1
4586	53	3	4	2
4587	63	3	3	5
4588	81	0	0	0
4589	81	4	0	0
4590	54	3	1	4
4591	47	3	3	5
4592	42	3	3	2
4593	47	6	2	6
4594	36	3	3	5
4595	49	6	2	6
4596	53	6	2	1
4597	47	3	3	5
4598	40	0	1	4
4599	81	4	0	0
4600	56	3	4	2
4601	51	5	5	1
4602	56	3	3	5
4603	41	0	1	4
4604	50	0	1	4
4605	71	3	1	5
4606	53	3	4	4
4607	53	5	5	1
4608	53	6	2	6
4609	53	3	3	5
4610	70	4	0	0
4611	47	3	1	4
4612	53	5	5	1
4613	49	5	5	1
4614	47	5	5	1
4615	53	6	2	1
4616	40	3	3	5
4617	81	0	1	0
4618	54	3	3	5
4619	39	0	0	0
4620	47	3	3	5
4621	53	5	5	1
4622	43	3	4	2
4623	66	0	0	0
4624	81	0	1	4
4625	47	6	2	6
4626	56	6	2	6
4627	41	3	4	2
4628	73	0	0	0
4629	65	0	1	4
4630	51	3	1	4
4631	53	5	5	1
4632	57	0	1	0
4633	47	5	5	1
4634	41	3	4	2
4635	34	3	3	5
4636	72	0	1	4
4637	47	6	2	6
4638	32	3	3	5
4639	47	3	3	5
4640	49	3	4	4
4641	53	5	5	1
4642	81	0	0	0
4643	53	5	5	1
4644	56	6	2	6
4645	52	3	4	2
4646	50	4	0	1
4647	81	4	0	1
4648	47	3	3	5
4649	42	3	3	5
4650	81	4	0	1
4651	84	0	1	0
4652	38	3	1	4
4653	50	6	2	6
4654	81	0	6	3
4655	53	6	2	6
4656	49	5	5	1
4657	84	0	0	0
4658	65	4	0	1
4659	50	0	0	0
4660	79	0	1	2
4661	49	5	5	1
4662	44	3	3	5
4663	53	6	2	6
4664	50	6	2	6
4665	46	6	2	6
4666	62	3	3	2
4667	56	3	3	5
4668	53	6	2	6
4669	43	0	1	0
4670	72	5	5	1
4671	49	3	3	5
4672	81	0	0	0
4673	72	6	2	6
4674	49	6	2	6
4675	72	3	4	2
4676	81	4	0	1
4677	53	6	2	6
4678	54	3	3	5
4679	45	3	3	5
4680	76	0	0	0
4681	45	6	2	1
4682	54	3	3	5
4683	41	5	5	1
4684	49	3	4	2
4685	56	6	2	1
4686	81	0	0	0
4687	74	4	0	1
4688	45	3	3	5
4689	57	3	3	5
4690	81	0	0	0
4691	35	3	3	5
4692	56	3	3	5
4693	49	3	4	2
4694	25	3	3	5
4695	49	3	3	5
4696	56	3	4	4
4697	22	0	1	4
4698	53	6	2	6
4699	52	6	2	6
4700	81	0	0	0
4701	72	5	5	1
4702	56	4	2	1
4703	71	0	1	0
4704	47	3	1	4
4705	37	3	3	5
4706	50	6	2	6
4707	44	0	1	4
4708	50	6	2	6
4709	47	3	4	2
4710	29	3	1	4
4711	48	3	4	2
4712	63	3	4	2
4713	62	3	4	2
4714	51	6	2	6
4715	56	3	3	5
4716	79	0	1	2
4717	47	6	2	6
4718	51	6	2	6
4719	47	0	1	4
4720	45	0	1	0
4721	47	5	5	1
4722	49	0	1	4
4723	47	3	3	5
4724	81	0	0	0
4725	59	3	4	2
4726	81	0	0	0
4727	49	6	2	1
4728	56	5	5	1
4729	56	6	2	6
4730	61	0	1	4
4731	81	4	0	0
4732	58	3	1	4
4733	81	0	0	0
4734	49	6	2	6
4735	61	0	0	0
4736	67	3	3	5
4737	62	0	1	4
4738	56	0	0	3
4739	51	6	2	6
4740	53	3	4	2
4741	48	6	2	6
4742	47	6	2	6
4743	70	3	3	5
4744	81	0	0	0
4745	42	3	1	4
4746	72	3	3	2
4747	53	6	2	6
4748	58	0	0	0
4749	49	3	4	2
4750	78	0	1	4
4751	43	0	0	0
4752	81	0	0	0
4753	38	6	2	6
4754	48	4	2	1
4755	50	6	2	6
4756	56	3	3	5
4757	39	3	3	5
4758	49	6	2	6
4759	50	6	2	6
4760	57	6	2	1
4761	52	0	0	0
4762	80	3	4	2
4763	53	6	2	6
4764	47	6	2	6
4765	50	3	1	4
4766	45	3	1	4
4767	57	0	1	4
4768	54	0	0	0
4769	81	0	1	0
4770	72	3	4	2
4771	56	6	2	1
4772	47	6	2	6
4773	58	3	3	5
4774	53	5	5	1
4775	40	3	3	5
4776	53	5	5	1
4777	81	0	0	0
4778	53	6	2	6
4779	53	4	0	1
4780	56	4	0	1
4781	72	5	5	1
4782	32	3	3	5
4783	47	5	5	1
4784	56	3	3	5
4785	58	0	1	4
4786	38	3	1	4
4787	78	4	0	1
4788	53	5	5	1
4789	53	6	2	6
4790	53	3	4	2
4791	56	0	1	4
4792	53	3	4	2
4793	48	6	2	6
4794	50	6	2	6
4795	44	3	4	2
4796	45	3	3	5
4797	49	6	2	6
4798	55	3	4	2
4799	56	3	3	5
4800	81	4	0	0
4801	79	5	5	1
4802	47	6	2	6
4803	47	3	3	5
4804	22	3	1	4
4805	78	0	0	0
4806	47	3	3	5
4807	47	3	3	5
4808	73	4	0	1
4809	47	3	4	2
4810	56	3	3	5
4811	56	3	1	4
4812	53	5	5	1
4813	72	5	5	1
4814	63	5	5	1
4815	81	0	0	0
4816	54	3	1	5
4817	60	3	3	5
4818	81	4	0	0
4819	51	6	2	6
4820	67	0	0	0
4821	52	3	3	5
4822	49	3	4	2
4823	56	6	2	6
4824	51	5	5	1
4825	60	0	1	0
4826	47	3	1	2
4827	70	4	0	1
4828	47	0	0	0
4829	51	6	2	6
4830	53	6	2	6
4831	53	6	2	6
4832	48	3	4	2
4833	58	0	1	4
4834	62	4	0	1
4835	52	6	2	6
4836	81	0	6	3
4837	48	3	3	5
4838	81	0	6	3
4839	56	3	3	5
4840	58	3	1	2
4841	53	3	4	2
4842	58	5	5	1
4843	20	3	3	5
4844	38	3	3	5
4845	47	6	2	6
4846	47	3	3	5
4847	49	3	1	2
